Data Type - Total Exports by Commodity,Hts Num,Description,Year 1996,Year 1997,Year 1998,Year 1999,Year 2000,Year 2001,Year 2002,Year 2003,Year 2004,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017,Year 2018,Percent Change 2017 - 2018
FAS Value,89,"SHIPS, BOATS AND FLOATING STRUCTURES",18059223,21885453,51002554,110337867,30594210,36971035,83931220,101021787,108804676,104859631,174760651,95929681,101711093,138106896,123971463,97132578,119835287,125181269,196671131,242252106,172712401,173154027,377250197,117.9
FAS Value,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES,320896774,371940712,457076479,356073963,308801645,273818879,459670528,383711574,494990788,428220920,387798720,544364627,883792312,635028363,798040859,940277332,889820227,777060884,679544890,665096166,662105093,624153506,535974738,-14.1
FAS Value,25,"SALT; SULFUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT",86755165,103728085,149500248,127024286,128666220,126576096,101404851,100733249,98678611,112412921,151789255,155113380,172903210,133817786,183045104,241163480,288852961,273535657,258643805,277469239,242034869,265311439,360732993,36.0
FAS Value,38,MISCELLANEOUS CHEMICAL PRODUCTS,545722057,647104320,722097725,692061854,808411730,734510487,759974865,807757026,949135593,1124815592,1336850775,1328864916,1641625362,1619959620,1836017475,2075963215,2319739758,2596084697,2915116208,2873240808,2843438473,2992138799,3564190155,19.1
FAS Value,46,"MANUFACTURES OF STRAW, ESPARTO OR OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK",893057,676262,2704711,6773285,7924523,3477446,971167,4960220,6773452,6787632,1962851,1952143,4940592,3126147,3277310,2208364,1695475,1624031,1360001,1267701,1400797,1142955,2093223,83.1
FAS Value,12,"OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUITS; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER",987597644,1062188277,928209320,818742421,894159982,946118507,1117163808,1224059589,1116200977,1282267906,1318552837,1644400788,2403838672,1889825047,2055498345,2245587909,2603010528,2329225877,2419647971,1935928927,2010112136,2082877277,2305506512,10.7
FAS Value,02,MEAT AND EDIBLE MEAT OFFAL,500566978,698916051,823255035,863443673,1125863046,1203435125,1132517295,1252717823,1264614088,1552714560,1789065154,1722219727,2109099323,1971411665,2303900641,2698021248,2769695522,3046860552,3698966064,3062982392,2997640833,3139277963,2999434981,-4.5
FAS Value,70,GLASS AND GLASSWARE,259334369,316633173,334646352,370823957,498650193,456982722,516307025,524401366,508993000,430950352,448104694,507355541,491497029,475046680,555421514,577595328,646498310,650789278,717552437,769773201,827738058,851532336,873933232,2.6
FAS Value,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES",75796924,105385871,101240803,110249906,161728568,129236417,106804466,94078016,63004601,52023794,66876804,73894797,115828847,79212781,108538951,105598602,97051335,120755684,120055385,134199405,96683242,94982085,103594253,9.1
FAS Value,72,IRON AND STEEL,880391173,1028847587,988528132,946493912,1138367894,1202620936,1098127583,1169679258,1521134718,1836102578,2070910196,2180096207,3066946074,2009298217,2718330600,3737098639,4170076443,4037639901,4394656413,4133693909,3830729945,4584617789,4616133347,0.7
FAS Value,03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES",34277959,36255953,38011881,34925737,44565591,49364598,44961348,56284425,44864791,48189158,43615066,37229259,41564860,28288056,23961154,24823169,22849684,23067658,23732112,21872371,41545513,36377903,27730188,-23.8
FAS Value,56,"WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF",180286559,195837110,256797539,237765576,253655942,256695382,280686768,301606122,320572977,367690629,406135699,362785484,352520061,358334990,444679575,488439092,500799918,561220253,647238117,671778565,675386539,718332116,711050181,-1.0
FAS Value,69,CERAMIC PRODUCTS,81337808,78379700,109971204,130628274,163276369,163609236,171695314,105424629,122108942,137368786,158688480,207800166,186508810,156242425,213315904,265189981,296644833,269602601,303074381,282176176,265082571,297152363,333138131,12.1
FAS Value,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS,10372815,11390581,15797961,24832004,39433361,30681132,62604313,148135337,169814483,146516692,198199892,215398602,188367790,181180386,220295873,209759992,230746291,190587355,197271948,200934944,177916303,171815475,131869820,-23.2
FAS Value,47,PULP OF WOOD OR OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER AND PAPERBOARD,332443224,393544831,373196667,395439103,495961513,400991010,471916737,493590292,561401502,615503887,674397329,762871258,1087902582,657409085,945727141,921873165,774040396,812703108,811301493,725451752,732047565,826828035,912392291,10.3
FAS Value,31,FERTILIZERS,147287040,142131526,142991732,147421662,157670308,160684275,195906489,226499970,308518825,323901422,393690014,394991992,452622637,264239780,304989160,379568886,415247171,334110561,317883697,297333106,237212197,277409040,288705153,4.1
FAS Value,75,NICKEL AND ARTICLES THEREOF,11818247,20085763,21568747,23713011,56761360,62790615,87151859,77380005,87706657,119943291,147022807,169823085,209285935,144704997,133619413,174299639,175877846,174556773,199082032,167516701,175087461,198100208,293510567,48.2
FAS Value,01,LIVE ANIMALS,81130489,209456018,141524773,103680807,122208441,145992397,140124531,71290984,68167751,68928263,64607228,91595986,127044034,88462432,106090427,105990041,110395613,146415524,156610065,130716305,131603373,131481431,120957697,-8.0
FAS Value,83,MISCELLANEOUS ARTICLES OF BASE METAL,460581791,519196280,561715829,572083743,981745411,841445488,804886192,740852154,915648834,969936444,1016898583,1020640321,969451646,767463360,864328557,965512876,1096263599,1222088124,1450748160,1420290861,1510253397,1503746162,1599577549,6.4
FAS Value,34,"SOAP ETC.; LUBRICATING PRODUCTS; WAXES, POLISHING OR SCOURING PRODUCTS; CANDLES ETC., MODELING PASTES; DENTAL WAXES AND DENTAL PLASTER PREPARATIONS",107930694,140666497,182924444,181949333,212872401,207959658,205056106,224390852,259507661,274495846,359285996,300675162,368045290,388922349,372722717,472587628,550302371,617384824,660012172,662246128,647922326,669563446,718859114,7.4
FAS Value,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED",947647818,1191461357,1353197821,1174153900,1105502371,797452989,794398301,677495972,548083762,473313450,378588636,266606741,264305270,246855128,251781424,306349284,309048353,291021583,335733224,407913132,306839020,338931506,368143554,8.6
FAS Value,60,KNITTED OR CROCHETED FABRICS,61979568,87988566,117422523,168519187,343826257,355568116,332148832,365378826,542125582,622298440,618445330,629805952,565596543,366824830,415436891,383569054,353741235,396295961,392975858,432421219,354381562,312566646,311731512,-0.3
FAS Value,98,"SPECIAL CLASSIFICATION PROVISIONS, NESOI",2220985092,2843036639,3382846765,3837685845,4629374685,4008986198,3720912361,3557202915,3797113804,3993130603,4439607352,4721828270,5078982841,3959913379,5218690277,6130221906,6615194817,6892295451,7394354638,7134044120,6760767955,7056236655,7712066807,9.3
FAS Value,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,38472622,23261944,11155897,11905688,8644702,10798678,14909122,12708387,12618326,19875709,32351722,48365679,66018538,122701618,126318809,163432802,135228671,113319359,96644840,93200875,87076924,83560793,101498814,21.5
